Summary,Issue key,Issue id,Issue Type,Status,Priority,Resolution,Assignee,Created,Updated,Resolved,Predicted Priority
Notifications (bullhorns) need an improved workflow for setting up browser push permissions.,SAK-50050,67575,Bug,Closed,Blocker,Fixed,Adrian Fish,02-05-2024 07:04,18-07-2024 17:08,14-05-2024 03:04,major
Unexpected end of JSON input at SakaiRubricAssociation.js,SAK-50009,67534,Bug,Closed,Major,Fixed,Sam Ottenhoff,25-04-2024 09:53,01-05-2024 04:33,26-04-2024 10:42,major
LTI-Assignments: Instructor is no longer able to grade lti assignment submission,SAK-49964,67489,Bug,Closed,Blocker,Fixed,Adrian Fish,13-04-2024 11:03,19-04-2024 19:13,17-04-2024 17:18,major
Resources Scrolling issue when selecting from other site,SAK-49764,67291,Bug,Closed,Major,Fixed,kunaljaykam,16-02-2024 03:25,10-03-2024 10:56,20-02-2024 12:48,major
Bulk Membership: Removal of user doe not work in an official site,SAK-50149,67674,Bug,Resolved,Critical,Non-Issue,Bernardo Garcia Vila,26-05-2024 21:15,30-05-2024 18:27,30-05-2024 18:27,critical
T&Q: Show historical change for question in question pool,SAK-49591,67117,Feature Request,Verified,Major,Fixed,Manu Fuster,21-12-2023 03:13,10-01-2024 07:32,08-01-2024 08:25,major
Dashboard tool should be more explicit about flex layout,SAK-50319,67846,Bug,Closed,Major,Fixed,Adrian Fish,22-07-2024 13:18,30-07-2024 12:51,23-07-2024 10:24,major
T&Q: NPE when trying to import an xml file to the Question Pool,SAK-49405,66929,Bug,Verified,Blocker,Fixed,Jesus Maria Mendez Perez,25-10-2023 18:21,13-11-2023 17:11,08-11-2023 02:32,blocker
User prefs tool error during startup,SAK-49903,67431,Bug,Closed,Major,Fixed,Earle Nietzel,28-03-2024 15:10,02-06-2024 11:48,28-03-2024 21:46,major
Tests and Quizzes: Groups to which the TA doe not belong should not be displayed on the selector Who can access this assessment?,SAK-50216,67743,Bug,Resolved,Major,Fixed,Jesus Maria Mendez Perez,14-06-2024 03:59,02-07-2024 11:21,02-07-2024 11:21,major
Assignments: Originality Service Name missing from Grader,SAK-50078,67603,Bug,Closed,Major,Fixed,Manu Fuster,09-05-2024 05:09,11-05-2024 11:07,09-05-2024 16:08,major
AssignmentEntityProvider.getGradableForSite return an http 500 when encountering invalid attachment,SAK-49315,66839,Bug,Closed,Major,Fixed,Earle Nietzel,27-09-2023 18:21,03-10-2023 10:14,28-09-2023 11:08,major
Hidden site tool are unnavigable a they don't appear in nav,SAK-49630,67156,Bug,Closed,Major,Fixed,Earle Nietzel,10-01-2024 14:11,01-02-2024 16:57,15-01-2024 16:01,major
View As: Uncaught (in promise) ReferenceError: getBrowserFingerprint is not defined console error,SAK-49759,67286,Bug,Closed,Major,Incorporated,Adrian Fish,14-02-2024 18:56,25-03-2024 11:13,20-03-2024 15:00,major
Gradebook: Extra credit warning is not readable in dark mode.,SAK-49784,67311,Bug,Closed,Minor,Fixed,Matthew Jones,25-02-2024 08:54,09-05-2024 19:36,08-04-2024 15:27,minor
Lessons: omitting the title when adding a sub page lock the whole screen,SAK-49422,66946,Bug,Resolved,Major,Cannot Reproduce,Core Team,03-11-2023 17:15,13-02-2024 15:01,13-02-2024 15:01,major
